Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,11171.55,11075.95,10777.233,10787.136,3689962902.243,NSEI,National Stock Exchange of India Index
201802,11117.35,10878.8,10545.342,10533.105,3486400837.696,NSEI,National Stock Exchange of India Index
201803,10525.5,10447.15,10252.1,10232.618,3624982200.0,NSEI,National Stock Exchange of India Index
201804,10759.0,10704.6,10458.605,10472.933,3605340900.0,NSEI,National Stock Exchange of India Index
201805,10929.2,10781.4,10677.209,10664.448,6670090882.06,NSEI,National Stock Exchange of India Index
201806,10893.25,10842.65,10754.991,10742.974,3837691975.0,NSEI,National Stock Exchange of India Index
201807,11366.0,11267.75,10983.632,10991.157,4153136400.0,NSEI,National Stock Exchange of India Index
201808,11760.2,11710.5,11499.829,11498.44,4074909369.3,NSEI,National Stock Exchange of India Index
201809,11751.8,11567.4,11365.597,11297.058,8449544063.39,NSEI,National Stock Exchange of India Index
201810,11035.65,10843.75,10401.898,10383.809,6692018396.496,NSEI,National Stock Exchange of India Index
201811,10922.45,10835.1,10625.868,10621.793,7550689823.26,NSEI,National Stock Exchange of India Index
201812,10985.15,10928.0,10773.435,10778.443,5010327092.879,NSEI,National Stock Exchange of India Index
201901,10987.45,10885.75,10826.173,10804.889,6645209880.96,NSEI,National Stock Exchange of India Index
201902,11118.1,11043.6,10840.305,10835.955,7162279768.762,NSEI,National Stock Exchange of India Index
201903,11588.5,11503.1,11282.081,11300.206,6115251450.0,NSEI,National Stock Exchange of India Index
201904,11856.15,11738.5,11681.492,11666.453,7165857295.716,NSEI,National Stock Exchange of India Index
201905,12041.15,11864.9,11610.116,11592.023,7204220278.337,NSEI,National Stock Exchange of India Index
201906,12103.05,12005.85,11852.437,11839.024,5811884518.762,NSEI,National Stock Exchange of India Index
201907,11981.75,11923.65,11561.87,11523.111,6634294975.0,NSEI,National Stock Exchange of India Index
201908,11181.45,11062.8,10990.348,10976.5,7666002257.12,NSEI,National Stock Exchange of India Index
201909,11694.85,11539.2,11114.829,11124.29,15867571950.848,NSEI,National Stock Exchange of India Index
201910,11945.0,11855.1,11489.537,11482.997,16899786000.0,NSEI,National Stock Exchange of India Index
201911,12158.8,12099.95,11973.603,11964.133,14606366211.753,NSEI,National Stock Exchange of India Index
201912,12293.9,12252.75,12111.095,12096.881,12265624419.103,NSEI,National Stock Exchange of India Index
202001,12430.5,12321.4,12207.833,12183.065,10785944850.0,NSEI,National Stock Exchange of India Index
202002,12246.7,12144.3,11973.876,11948.821,9918602491.98,NSEI,National Stock Exchange of India Index
202003,11433.0,11244.6,9456.324,9426.312,20705163000.0,NSEI,National Stock Exchange of India Index
202004,9889.05,9731.5,9064.761,9063.583,9208683178.416,NSEI,National Stock Exchange of India Index
202005,9598.85,9376.9,9232.834,9192.013,9282087571.903,NSEI,National Stock Exchange of India Index
202006,10553.15,10311.25,10108.257,10116.455,10491942117.738,NSEI,National Stock Exchange of India Index
202007,11341.4,11151.4,10902.183,10897.696,8755561101.08,NSEI,National Stock Exchange of India Index
202008,11794.25,11589.4,11343.698,11318.567,16179352150.0,NSEI,National Stock Exchange of India Index
202009,11618.1,11516.75,11362.736,11336.702,9106266474.318,NSEI,National Stock Exchange of India Index
202010,12025.45,11908.75,11805.922,11789.709,8465916940.8,NSEI,National Stock Exchange of India Index
202011,13145.85,12978.0,12573.124,12592.958,15280735586.664,NSEI,National Stock Exchange of India Index
202012,14024.85,13936.45,13540.509,13550.441,11047374037.797,NSEI,National Stock Exchange of India Index
202101,14753.55,14517.55,14358.684,14298.608,13714899903.376,NSEI,National Stock Exchange of India Index
202102,15431.75,15243.4,14952.862,14956.843,17030479300.0,NSEI,National Stock Exchange of India Index
202103,15336.3,15100.85,14869.767,14835.1,14097126785.352,NSEI,National Stock Exchange of India Index
202104,15044.35,14821.1,14617.805,14613.853,9781836116.422,NSEI,National Stock Exchange of India Index
202105,15606.35,15394.75,14970.202,14983.525,10103550737.514,NSEI,National Stock Exchange of India Index
