,Date,High,Low,Open,Close,Marketcap,Symbol,Name
0,201801,1432.88,742.004,1093.1,1103.646,13203918175226.752,ETH,Ethereum
1,201802,1161.35,574.419,882.527,873.116,7796479459105.034,ETH,Ethereum
2,201803,880.302,368.633,640.787,625.761,2364050941862.008,ETH,Ethereum
3,201804,708.875,363.805,512.149,521.104,2988716265184.0,ETH,Ethereum
4,201805,835.057,512.552,682.046,678.796,3604206302496.488,ETH,Ethereum
5,201806,624.513,407.947,524.592,520.528,2503016928311.04,ETH,Ethereum
6,201807,513.433,422.81,464.047,463.328,1217637092303.769,ETH,Ethereum
7,201808,435.457,254.65,327.069,322.051,930941749587.85,ETH,Ethereum
8,201809,301.144,170.257,229.291,227.461,854104646834.4,ETH,Ethereum
9,2018010,234.145,188.707,211.056,209.964,671019776813.32,ETH,Ethereum
10,2018011,221.652,101.77,171.895,169.048,694748223379.13,ETH,Ethereum
11,2018012,157.669,82.83,108.395,108.998,689066364752.23,ETH,Ethereum
12,201901,160.825,103.336,129.057,128.175,546440270135.41,ETH,Ethereum
13,201902,165.55,102.935,126.112,127.221,986297473352.364,ETH,Ethereum
14,201903,149.613,125.403,137.202,137.327,782213913670.431,ETH,Ethereum
15,201904,184.378,140.738,164.9,165.604,1958545676223.92,ETH,Ethereum
16,201905,287.202,159.66,216.73,220.186,5359603416914.974,ETH,Ethereum
17,201906,361.399,229.257,274.005,274.758,5940340522796.581,ETH,Ethereum
18,201907,318.223,193.99,250.596,248.29,3716841251316.55,ETH,Ethereum
19,201908,239.116,167.071,201.309,199.817,1960091531213.178,ETH,Ethereum
20,201909,222.872,157.13,185.712,185.992,2620467201680.274,ETH,Ethereum
21,2019010,195.943,157.463,179.136,179.252,2710234598778.23,ETH,Ethereum
22,2019011,193.547,133.802,174.661,173.652,2326583151046.026,ETH,Ethereum
23,2019012,153.155,119.78,138.784,138.042,1817115001802.01,ETH,Ethereum
24,202001,186.26,126.49,155.32,156.973,3112844492204.754,ETH,Ethereum
25,202002,287.124,179.745,237.377,238.756,7612073104259.306,ETH,Ethereum
26,202003,249.978,95.184,163.235,160.376,6965556257884.843,ETH,Ethereum
27,202004,227.53,129.731,169.392,171.958,6391125238624.397,ETH,Ethereum
28,202005,244.045,180.718,207.347,208.126,6152765372562.085,ETH,Ethereum
29,202006,252.222,219.473,236.268,236.159,3518932723473.792,ETH,Ethereum
30,202007,348.611,224.544,255.554,259.406,5453765713534.722,ETH,Ethereum
31,202008,444.578,343.587,399.326,402.153,8406851733042.58,ETH,Ethereum
32,202009,487.212,316.774,370.861,368.336,15308750164446.264,ETH,Ethereum
33,2020010,420.142,335.534,375.886,376.127,8504223661967.428,ETH,Ethereum
34,2020011,621.173,371.313,478.697,486.145,19320980317132.258,ETH,Ethereum
35,2020012,754.303,532.998,618.537,622.488,20501180493751.973,ETH,Ethereum
36,202101,1467.785,718.109,1184.998,1201.393,89143906205326.03,ETH,Ethereum
37,202102,2036.286,1274.358,1696.234,1699.809,105947711059878.4,ETH,Ethereum
38,202103,1947.838,1416.416,1720.527,1736.862,60827178111385.484,ETH,Ethereum
39,202104,2797.972,1912.178,2269.13,2297.673,155046658362540.88,ETH,Ethereum
40,202105,4362.351,1737.469,3142.514,3140.731,368544084055370.44,ETH,Ethereum
41,202106,2891.255,1707.601,2349.591,2335.792,121171731104637.19,ETH,Ethereum
42,202107,2551.161,1722.051,2122.466,2131.08,81117261644371.47,ETH,Ethereum
43,202108,3466.992,2449.354,3069.709,3098.385,114693188103821.8,ETH,Ethereum
44,202109,4022.469,2676.407,3349.545,3337.053,157404637123454.66,ETH,Ethereum
45,2021010,4455.735,2978.654,3776.93,3818.768,125743800528210.66,ETH,Ethereum
46,2021011,4891.705,3933.507,4432.403,4434.129,140031667799744.08,ETH,Ethereum
47,2021012,4780.732,3525.494,4308.915,4258.502,183957798955498.88,ETH,Ethereum
