Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,495.836,453.391,364.678,361.742,259043576101.376,XMR,Monero
201802,339.687,303.789,266.015,266.732,57607518330.0,XMR,Monero
201803,379.68,355.992,252.444,249.193,74425632960.0,XMR,Monero
201804,298.076,280.243,212.379,214.714,53727898539.392006,XMR,Monero
201805,257.619,242.954,203.259,200.461,29667919278.000004,XMR,Monero
201806,176.11,163.06,137.096,136.254,8503365684.000001,XMR,Monero
201807,149.361,138.547,133.958,133.721,8191748853.299999,XMR,Monero
201808,130.501,121.085,101.25,101.012,7486124614.5,XMR,Monero
201809,140.099,134.859,115.934,115.993,7688324902.2,XMR,Monero
201810,119.821,113.62,107.922,107.552,19727808724.0,XMR,Monero
201811,113.652,110.465,88.096,86.494,3820684744.8,XMR,Monero
201812,61.81,58.319,48.755,48.374,1343737470.67,XMR,Monero
201901,55.261,52.602,47.112,47.024,2786207343.0940003,XMR,Monero
201902,56.827,51.923,47.856,48.056,4245850956.087,XMR,Monero
201903,56.738,53.724,52.271,52.465,11442688178.746,XMR,Monero
201904,72.507,68.822,66.216,66.422,15636868683.375002,XMR,Monero
201905,98.859,95.659,79.382,80.397,41494898219.505,XMR,Monero
201906,120.074,113.84,96.306,96.101,34582931918.334,XMR,Monero
201907,107.318,100.809,86.734,86.513,20470358280.614,XMR,Monero
201908,97.605,91.558,84.304,83.866,11713462437.78,XMR,Monero
201909,82.01,76.794,71.307,70.949,11804370633.86,XMR,Monero
201910,64.404,59.168,56.147,56.236,15034751720.712,XMR,Monero
201911,66.276,64.359,59.259,59.12,19438120780.343998,XMR,Monero
201912,55.616,53.786,50.158,49.824,9157304819.52,XMR,Monero
202001,75.985,69.544,60.795,61.692,12644334910.935,XMR,Monero
202002,96.777,91.138,80.806,80.618,18240094044.162,XMR,Monero
202003,70.089,67.844,49.672,49.082,13971614432.916,XMR,Monero
202004,68.366,62.085,56.259,56.783,10830963948.416,XMR,Monero
202005,68.575,65.936,63.435,63.515,9511019156.925001,XMR,Monero
202006,70.055,67.673,65.808,65.748,7726750551.950001,XMR,Monero
202007,84.582,80.485,69.625,70.318,11303546599.872,XMR,Monero
202008,105.523,93.335,91.708,91.998,22876514674.496998,XMR,Monero
202009,108.156,95.376,89.264,89.673,3132102771127.752,XMR,Monero
202010,138.797,131.244,119.507,119.938,198471243938.188,XMR,Monero
202011,142.082,127.531,120.564,120.635,240485502076.29398,XMR,Monero
202012,170.609,159.238,147.09,147.953,281831536719.643,XMR,Monero
202101,189.279,160.974,147.016,146.161,515087797216.599,XMR,Monero
202102,288.237,254.197,199.885,202.75,722658114719.112,XMR,Monero
202103,262.696,240.986,224.36,225.28,226062937721.60004,XMR,Monero
202104,439.622,403.346,326.691,332.432,792063060150.97,XMR,Monero
202105,517.62,451.695,349.759,345.082,923253150587.58,XMR,Monero
